Öğrenci No,Ad Soyad,Sınıf,Öğrenme Stili,visual_spatial_level,visual_spatial_score,verbal_linguistic_level,verbal_linguistic_score,logical_mathematical_level,logical_mathematical_score,musical_rhythmic_level,musical_rhythmic_score,bodily_kinesthetic_level,bodily_kinesthetic_score,interpersonal_level,interpersonal_score,intrapersonal_level,intrapersonal_score,naturalist_level,naturalist_score
12345,Ahmet Yılmaz,8,Ayrıştıran,4,85,3,65,5,92,2,45,3,70,4,80,3,60,2,40
12346,Ayşe Demir,8,Özümseyen,3,70,4,80,3,65,4,75,2,50,5,85,4,75,3,60
12347,Mehmet Kaya,7,Birleştiren,2,50,5,90,4,80,3,65,4,75,3,65,2,45,4,70
12348,Fatma Özkan,7,Ayrıştıran,5,95,2,55,4,75,2,40,3,65,4,75,3,60,2,35
12349,Ali Çelik,8,Özümseyen,3,65,3,70,5,88,4,80,2,45,3,65,4,70,3,55
12350,Zeynep Arslan,7,Birleştiren,4,80,4,75,3,70,3,65,5,85,2,50,3,65,4,75
12351,Can Yıldız,8,Ayrıştıran,2,45,5,85,4,75,2,40,3,65,4,80,2,50,3,60
12352,Elif Şahin,7,Özümseyen,4,75,3,65,3,70,4,75,3,70,3,65,4,75,2,45
12353,Burak Öztürk,8,Birleştiren,3,70,4,80,2,55,3,65,4,75,3,65,3,60,4,70
12354,Selin Doğan,7,Ayrıştıran,5,90,2,50,4,80,2,35,3,65,4,75,3,60,2,40
12355,Emre Koç,8,Özümseyen,3,65,4,75,4,80,3,65,2,50,4,80,3,65,3,55
12356,Deniz Yılmaz,7,Birleştiren,4,80,3,70,3,70,4,75,3,70,2,50,4,75,3,65
12357,Cem Özkan,8,Ayrıştıran,2,50,5,90,5,95,2,40,3,65,4,80,2,45,3,60
12358,Berfin Demir,7,Özümseyen,4,75,3,65,3,70,4,80,3,70,3,65,4,75,2,45
12359,Efe Kaya,8,Birleştiren,3,70,4,80,3,70,3,65,4,75,3,65,3,60,4,70
12360,Merve Arslan,7,Ayrıştıran,5,85,2,55,4,75,2,40,3,65,4,75,3,60,2,35
12361,Onur Yıldız,8,Özümseyen,3,65,4,75,4,80,3,65,2,50,4,80,3,65,3,55
12362,Sude Şahin,7,Birleştiren,4,80,3,70,3,70,4,75,3,70,2,50,4,75,3,65
12363,Kerem Öztürk,8,Ayrıştıran,2,50,5,85,5,90,2,40,3,65,4,75,2,45,3,60
12364,İrem Doğan,7,Özümseyen,4,75,3,65,3,70,4,80,3,70,3,65,4,75,2,45
12365,Arda Koç,8,Birleştiren,3,70,4,80,3,70,3,65,4,75,3,65,3,60,4,70
12366,Ece Yılmaz,7,Ayrıştıran,5,85,2,55,4,75,2,40,3,65,4,75,3,60,2,35
12367,Berk Özkan,8,Özümseyen,3,65,4,75,4,80,3,65,2,50,4,80,3,65,3,55
12368,Defne Demir,7,Birleştiren,4,80,3,70,3,70,4,75,3,70,2,50,4,75,3,65
12369,Eren Kaya,8,Ayrıştıran,2,50,5,85,5,90,2,40,3,65,4,75,2,45,3,60
12370,İdil Arslan,7,Özümseyen,4,75,3,65,3,70,4,80,3,70,3,65,4,75,2,45
